epoch,train_loss,valid_loss,accuracy,time
0,3.025217,#na#,00:21
epoch,train_loss,valid_loss,accuracy,time
0,1.928898,#na#,00:21
epoch,train_loss,valid_loss,accuracy,time
0,1.326045,1.290877,0.393495,2:50:38
1,1.328393,1.291309,0.392644,2:49:55
2,1.331140,1.291431,0.392342,2:49:46
3,1.339182,1.299270,0.384796,2:49:35
4,1.333252,1.292378,0.391857,2:49:44
5,1.325597,1.288986,0.393771,2:49:19
6,1.325281,1.286963,0.395057,2:49:34
7,1.319808,1.281508,0.398013,2:49:23
8,1.312197,1.277804,0.399945,2:49:24
9,1.309186,1.271742,0.402029,2:49:34
epoch,train_loss,valid_loss,accuracy,time
0,1.325735,1.293670,0.393495,2:50:38
1,1.332154,1.294206,0.392644,2:49:55
2,1.331009,1.294273,0.392342,2:49:46
3,1.341637,1.302111,0.384796,2:49:36
4,1.329624,1.295202,0.391857,2:49:44
5,1.329062,1.291701,0.393771,2:49:19
6,1.326569,1.289734,0.395057,2:49:34
7,1.320228,1.284204,0.398013,2:49:23
8,1.313162,1.280512,0.399945,2:49:24
9,1.308158,1.274487,0.402029,2:49:33
