epoch,train_loss,valid_loss,accuracy,time
0,1.335559,1.304623,0.382122,2:07:48
1,1.348571,1.312473,0.374216,2:06:47
2,1.357666,1.327115,0.362042,2:06:47
3,1.358210,1.321747,0.367660,2:06:55
4,1.348057,1.312103,0.373445,2:06:52
5,1.344381,1.309562,0.376501,2:06:57
6,1.338994,1.303597,0.380852,2:06:48
7,1.336977,1.299914,0.382493,2:06:53
8,1.335251,1.298483,0.384238,2:07:24
9,1.335577,1.298284,0.384416,2:07:30
epoch,train_loss,valid_loss,accuracy,time
0,1.338596,1.306902,0.382122,2:07:48
1,1.344986,1.314687,0.374216,2:06:46
2,1.357000,1.329548,0.362042,2:06:44
3,1.358021,1.323847,0.367660,2:06:52
4,1.344003,1.314233,0.373445,2:06:50
5,1.341993,1.311471,0.376501,2:06:54
6,1.336287,1.305806,0.380852,2:06:46
7,1.333610,1.302400,0.382493,2:06:51
8,1.335404,1.300807,0.384238,2:07:21
9,1.332695,1.300569,0.384416,2:07:28
